Vehicle ID,Lane Number,Frame Count,Timestamp (s)
1,1,17,0.57
2,1,44,1.47
20,3,63,2.1
3,1,65,2.17
5,2,75,2.5
7,1,103,3.43
9,2,140,4.67
10,1,153,5.1
16,1,200,6.67
28,1,220,7.33
73,1,252,8.4
30,1,252,8.4
37,1,276,9.2
25,2,286,9.53
26,1,291,9.7
32,2,338,11.27
54,1,339,11.3
50,1,342,11.4
69,1,366,12.2
58,1,380,12.67
43,2,389,12.97
77,1,414,13.8
63,2,441,14.7
103,1,462,15.4
107,1,539,17.97
118,1,598,19.93
113,1,602,20.07
126,1,645,21.5
127,1,669,22.3
117,2,683,22.77
139,1,739,24.63
120,2,748,24.93
155,1,822,27.4
144,1,829,27.63
215,1,834,27.8
218,3,862,28.73
172,1,888,29.6
177,1,964,32.13
258,3,1001,33.37
141,2,1003,33.43
274,2,1042,34.73
278,3,1059,35.3
164,1,1069,35.63
199,1,1128,37.6
314,1,1132,37.73
180,1,1153,38.43
326,1,1154,38.47
238,1,1210,40.33
353,3,1213,40.43
223,1,1214,40.47
235,1,1282,42.73
264,1,1298,43.27
273,1,1359,45.3
354,1,1381,46.03
392,1,1384,46.13
402,3,1395,46.5
389,3,1395,46.5
385,1,1402,46.73
339,1,1449,48.3
427,3,1473,49.1
367,1,1474,49.13
356,1,1515,50.5
442,1,1518,50.6
443,1,1521,50.7
444,3,1550,51.67
416,1,1552,51.73
455,3,1604,53.47
370,1,1607,53.57
393,1,1615,53.83
467,1,1618,53.93
159,2,1637,54.57
477,2,1652,55.07
384,1,1675,55.83
487,2,1707,56.9
173,2,1707,56.9
375,1,1712,57.07
438,1,1724,57.47
388,1,1771,59.03
212,2,1771,59.03
502,2,1779,59.3
513,2,1812,60.4
454,1,1830,61.0
1,1,18,0.6
2,1,45,1.5
20,3,63,2.1
3,1,65,2.17
5,2,76,2.53
7,1,104,3.47
9,2,141,4.7
10,1,153,5.1
16,1,200,6.67
28,1,221,7.37
30,1,253,8.43
37,1,277,9.23
25,2,287,9.57
26,1,291,9.7
54,1,339,11.3
32,2,339,11.3
50,1,343,11.43
69,1,367,12.23
58,1,380,12.67
43,2,390,13.0
77,1,414,13.8
63,2,442,14.73
103,1,463,15.43
107,1,539,17.97
118,1,599,19.97
113,1,603,20.1
126,1,645,21.5
127,1,669,22.3
117,2,683,22.77
139,1,739,24.63
120,2,749,24.97
155,1,823,27.43
144,1,833,27.77
215,1,834,27.8
218,3,863,28.77
172,1,892,29.73
177,1,966,32.2
258,3,1001,33.37
141,2,1035,34.5
274,2,1042,34.73
278,3,1059,35.3
164,1,1071,35.7
199,1,1129,37.63
314,1,1132,37.73
180,1,1155,38.5
326,1,1155,38.5
238,1,1211,40.37
353,3,1214,40.47
223,1,1215,40.5
235,1,1283,42.77
264,1,1299,43.3
273,1,1360,45.33
354,1,1382,46.07
392,1,1384,46.13
389,3,1396,46.53
402,3,1396,46.53
385,1,1403,46.77
339,1,1450,48.33
427,3,1474,49.13
367,1,1475,49.17
356,1,1517,50.57
442,1,1518,50.6
443,1,1521,50.7
444,3,1551,51.7
416,1,1553,51.77
455,3,1605,53.5
370,1,1609,53.63
393,1,1616,53.87
467,1,1618,53.93
159,2,1639,54.63
477,2,1653,55.1
384,1,1676,55.87
487,2,1708,56.93
173,2,1708,56.93
375,1,1713,57.1
438,1,1725,57.5
388,1,1771,59.03
212,2,1772,59.07
502,2,1780,59.33
454,1,1831,61.03
357,2,1853,61.77
400,1,1885,62.83
545,1,1918,63.93
435,1,1923,64.1
366,2,1930,64.33
557,1,1970,65.67
493,2,2008,66.93
524,1,2017,67.23
501,2,2062,68.73
476,1,2080,69.33
522,1,2099,69.97
528,2,2107,70.23
550,2,2159,71.97
532,1,2159,71.97
595,1,2165,72.17
564,2,2217,73.9
515,1,2247,74.9
583,1,2253,75.1
640,2,2273,75.77
567,2,2273,75.77
591,1,2301,76.7
655,1,2307,76.9
553,1,2307,76.9
573,1,2365,78.83
598,1,2443,81.43
618,1,2473,82.43
630,2,2483,82.77
662,1,2508,83.6
648,1,2516,83.87
657,2,2541,84.7
664,1,2556,85.2
660,2,2596,86.53
665,2,2642,88.07
675,1,2663,88.77
672,1,2701,90.03
690,1,2763,92.1
706,1,2798,93.27
702,1,2845,94.83
720,1,2916,97.2
721,1,2952,98.4
729,1,2969,98.97
735,1,3000,100.0
753,1,3060,102.0
759,1,3104,103.47
734,2,3111,103.7
775,1,3165,105.5
777,1,3182,106.07
787,1,3194,106.47
761,2,3199,106.63
802,1,3217,107.23
793,1,3248,108.27
770,2,3265,108.83
801,1,3280,109.33
811,1,3306,110.2
844,3,3341,111.37
821,1,3344,111.47
848,2,3350,111.67
789,2,3357,111.9
800,2,3423,114.1
825,1,3444,114.8
878,1,3467,115.57
892,3,3513,117.1
864,1,3518,117.27
866,1,3565,118.83
880,1,3575,119.17
886,1,3635,121.17
883,1,3644,121.47
912,3,3666,122.2
861,2,3678,122.6
902,1,3748,124.93
913,1,3890,129.67
914,2,3913,130.43
921,1,3923,130.77
918,1,3925,130.83
922,1,3955,131.83
924,1,3971,132.37
917,2,4034,134.47
972,2,4042,134.73
940,1,4077,135.9
954,1,4119,137.3
973,1,4137,137.9
958,1,4166,138.87
1004,3,4167,138.9
970,1,4172,139.07
975,1,4190,139.67
1016,2,4194,139.8
936,2,4204,140.13
988,1,4209,140.3
1023,3,4228,140.93
982,1,4242,141.4
991,1,4253,141.77
1032,3,4258,141.93
1009,1,4272,142.4
1001,1,4290,143.0
1007,1,4307,143.57
1005,1,4321,144.03
1020,1,4344,144.8
1022,1,4367,145.57
1061,3,4438,147.93
1042,1,4438,147.93
952,2,4439,147.97
1070,1,4450,148.33
1058,1,4505,150.17
1086,2,4528,150.93
966,2,4534,151.13
984,2,4612,153.73
1074,1,4622,154.07
1078,1,4660,155.33
1089,1,4671,155.7
1096,1,4724,157.47
1133,3,4741,158.03
1092,1,4753,158.43
1160,1,4763,158.77
990,2,4778,159.27
1104,1,4798,159.93
1187,3,4814,160.47
1102,1,4814,160.47
1116,1,4830,161.0
1126,1,4848,161.6
1153,1,4887,162.9
1012,2,4894,163.13
1183,1,4926,164.2
1144,1,4938,164.6
1025,2,4962,165.4
1197,1,5004,166.8
1191,1,5012,167.07
1198,1,5058,168.6
1228,1,5085,169.5
1251,3,5085,169.5
1041,2,5108,170.27
1216,1,5116,170.53
1239,1,5120,170.67
1108,2,5175,172.5
1245,1,5182,172.73
1060,2,5235,174.5
1203,1,5249,174.97
1324,1,5301,176.7
1076,2,5325,177.5
1268,1,5339,177.97
1306,1,5404,180.13
1353,3,5405,180.17
1246,2,5424,180.8
1370,2,5426,180.87
1241,1,5439,181.3
1334,1,5468,182.27
1264,2,5498,183.27
1340,1,5526,184.2
1363,1,5568,185.6
1273,2,5573,185.77
1276,1,5602,186.73
1292,2,5631,187.7
1375,1,5634,187.8
1382,1,5678,189.27
1286,1,5691,189.7
1410,3,5707,190.23
1390,1,5743,191.43
1315,1,5768,192.27
1388,1,5822,194.07
1,1,18,0.6
2,1,45,1.5
20,3,63,2.1
3,1,65,2.17
5,2,76,2.53
7,1,104,3.47
9,2,141,4.7
10,1,153,5.1
5,3,4,0.13
1,1,5,0.17
9,3,30,1.0
2,2,33,1.1
12,1,55,1.83
3,1,93,3.1
8,3,100,3.33
1,1,18,0.6
2,1,45,1.5
20,3,63,2.1
3,1,65,2.17
5,2,76,2.53
7,1,104,3.47
9,2,141,4.7
10,1,153,5.1
16,1,200,6.67
28,1,221,7.37
30,1,253,8.43
37,1,277,9.23
25,2,287,9.57
26,1,291,9.7
54,1,339,11.3
32,2,339,11.3
50,1,343,11.43
69,1,367,12.23
58,1,380,12.67
43,2,390,13.0
77,1,414,13.8
63,2,442,14.73
103,1,463,15.43
1,1,18,0.6
